,0_6.0_80
2020-01-22,1.0
2020-01-23,1.0021965757443467
2020-01-24,1.0664683101561068
2020-01-25,1.2572100509643271
2020-01-26,1.5496415091029103
2020-01-27,1.9696856296417438
2020-01-28,2.6084321164615445
2020-01-29,3.531311141204828
2020-01-30,4.687458878619386
2020-01-31,5.814838399836829
2020-02-01,6.72912920569322
2020-02-02,7.463133369057893
2020-02-03,8.033610847073891
2020-02-04,8.457739617671546
2020-02-05,8.713166744095581
2020-02-06,8.722259290143624
2020-02-07,8.584253772070577
2020-02-08,8.42916661484959
2020-02-09,8.279613871159418
2020-02-10,8.1392107311532
2020-02-11,7.977573044203596
2020-02-12,7.856164282547267
2020-02-13,8.046993239485495
2020-02-14,8.778951919209389
2020-02-15,9.973558801312599
2020-02-16,11.543682841046168
2020-02-17,13.703982325033778
2020-02-18,16.698046006339116
2020-02-19,20.505376236693778
2020-02-20,25.002437649829773
2020-02-21,30.584959974911737
2020-02-22,37.70109960178403
2020-02-23,46.04423860509712
2020-02-24,54.906606980655724
2020-02-25,63.980593652436674
2020-02-26,73.8271908016189
2020-02-27,84.73025731867688
2020-02-28,95.07498094725428
2020-02-29,104.1542412401894
2020-03-01,113.10454907051361
2020-03-02,122.68821911903768
2020-03-03,133.04787401601214
2020-03-04,144.52897817114578
2020-03-05,158.2838919227961
2020-03-06,174.96186279591532
2020-03-07,193.8026216909338
2020-03-08,213.96787292181284
2020-03-09,235.5031363647058
2020-03-10,258.1613500291927
2020-03-11,281.06458556399235
2020-03-12,303.5797180757622
2020-03-13,325.86461658716513
2020-03-14,346.45038961822576
2020-03-15,364.5381666234287
2020-03-16,380.2817108788648
2020-03-17,393.3662415514228
2020-03-18,404.5677685753736
2020-03-19,415.11875898466195
2020-03-20,426.6315100897479
2020-03-21,439.70655230593667
2020-03-22,453.80621773582953
2020-03-23,471.4991282230713
2020-03-24,494.66234648078546
2020-03-25,522.7233456621843
2020-03-26,559.5430149163365
2020-03-27,610.1081332921891
2020-03-28,674.005506563932
2020-03-29,748.7333888269767
2020-03-30,834.0227898564444
2020-03-31,934.1494573389122
2020-04-01,1052.7248912751168
2020-04-02,1188.3120797465874
2020-04-03,1338.10916845476
2020-04-04,1498.6158690792604
2020-04-05,1668.5777579835274
2020-04-06,1853.4402668328335
2020-04-07,2053.675714909487
2020-04-08,2258.768599165188
2020-04-09,2467.47957721591
2020-04-10,2683.673759039357
2020-04-11,2917.4087940469067
2020-04-12,3151.5389266486136
2020-04-13,3367.7639067644145
2020-04-14,3573.59700750415
2020-04-15,3769.370395160238
2020-04-16,3953.6578019114513
2020-04-17,4130.438041327502
2020-04-18,4278.103063372443
2020-04-19,4384.400089835604
2020-04-20,4468.339182141811
2020-04-21,4540.56860445136
2020-04-22,4600.110626481436
2020-04-23,4645.269176150404
2020-04-24,4665.60509583912
2020-04-25,4660.179081847892
2020-04-26,4637.038269734401
2020-04-27,4597.467512939227
2020-04-28,4539.341626643835
2020-04-29,4464.000660475133
2020-04-30,4376.786324986663
2020-05-01,4282.760906177992
2020-05-02,4186.674795341524
2020-05-03,4088.2417901471385
2020-05-04,3985.2742435806963
2020-05-05,3880.4996966723324
2020-05-06,3773.1027012495238
2020-05-07,3656.9936372295692
2020-05-08,3529.7979825513307
2020-05-09,3394.389554607724
2020-05-10,3255.005525464677
2020-05-11,3121.4511303453082
2020-05-12,2995.6534621449177
2020-05-13,2871.7839677430115
2020-05-14,2748.8447154006562
2020-05-15,2627.3405699283385
2020-05-16,2509.8022866796514
2020-05-17,2395.547761816304
2020-05-18,2283.3921602839337
2020-05-19,2174.7236443377883
2020-05-20,2069.038586583123
2020-05-21,1966.642256854008
2020-05-22,1868.871423836085
2020-05-23,1777.3708763633285
2020-05-24,1692.0209576915631
2020-05-25,1611.4613417989347
2020-05-26,1536.374639813659
2020-05-27,1468.3503995419205
2020-05-28,1407.9715061128609
2020-05-29,1355.4264984839033
2020-05-30,1308.2926817527712
2020-05-31,1264.4964636841714
2020-06-01,1223.678834479502
2020-06-02,1184.2098895259012
2020-06-03,1145.7208986115245
2020-06-04,1108.874561438826
2020-06-05,1073.9129159033464
2020-06-06,1039.742507726674
2020-06-07,1005.5607525905015
2020-06-08,972.0843549968939
2020-06-09,940.2080877359925
2020-06-10,911.1485469889072
2020-06-11,885.6088135649838
2020-06-12,863.420337562305
2020-06-13,844.7853667542785
2020-06-14,830.0479716856252
2020-06-15,819.5212481039907
2020-06-16,812.5676547058414
2020-06-17,807.9991966874293
2020-06-18,805.021310974192
2020-06-19,802.4683772909352
2020-06-20,798.8592913155342
2020-06-21,796.4695384338305
2020-06-22,797.329723122948
2020-06-23,801.4888532045941
2020-06-24,810.6951504434778
2020-06-25,825.0317699103575
2020-06-26,842.9615230709143
2020-06-27,866.317139539835
2020-06-28,896.6061246507757
2020-06-29,932.8336819918327
2020-06-30,976.4801170851024
2020-07-01,1031.1044748444638
2020-07-02,1098.575473697454
2020-07-03,1177.643758704197
2020-07-04,1264.6022797823414
2020-07-05,1356.2396851755313
2020-07-06,1453.628197853683
2020-07-07,1558.8511507778799
2020-07-08,1674.4523572491398
2020-07-09,1801.989870795104
2020-07-10,1940.5481671995644
2020-07-11,2089.969601863857
2020-07-12,2245.9149101380867
2020-07-13,2409.8771566396886
2020-07-14,2588.4995117312737
2020-07-15,2779.0033363294547
2020-07-16,2983.255213124713
2020-07-17,3202.6554507579426
2020-07-18,3433.8072243090173
2020-07-19,3678.260887187249
2020-07-20,3942.2054223563214
2020-07-21,4228.890179917297
2020-07-22,4534.688960581441
2020-07-23,4853.964714555457
2020-07-24,5181.773462206278
2020-07-25,5518.716079480945
2020-07-26,5873.019820997411
2020-07-27,6247.910118876498
2020-07-28,6612.464509351271
2020-07-29,6990.755536170071
2020-07-30,7432.866216709015
2020-07-31,7937.211488401928
2020-08-01,8486.251012038145
2020-08-02,9058.285085032674
2020-08-03,9618.583111557702
2020-08-04,10158.301731045836
2020-08-05,10674.37684794543
2020-08-06,11158.178421477609
2020-08-07,11617.828279711266
2020-08-08,12018.428875336715
2020-08-09,12349.050827936948
2020-08-10,12625.949875043598
2020-08-11,12846.864503691764
2020-08-12,13022.40691578103
2020-08-13,13160.658753950624
2020-08-14,13262.302956946887
2020-08-15,13325.611208343551
2020-08-16,13363.459384512837
2020-08-17,13391.303452858576
2020-08-18,13413.97839799949
2020-08-19,13448.701836439393
2020-08-20,13501.04499774284
2020-08-21,13546.521634353647
2020-08-22,13569.847705757047
2020-08-23,13555.848629960146
2020-08-24,13501.569595347768
2020-08-25,13417.509978002723
2020-08-26,13333.850812679064
2020-08-27,13243.417459594331
2020-08-28,13120.641814087636
2020-08-29,12972.862946070554
2020-08-30,12810.933479281528
2020-08-31,12636.689922746787
2020-09-01,12445.717596794806
2020-09-02,12235.540425132323
2020-09-03,12006.166435987167
2020-09-04,11761.405950973083
2020-09-05,11507.225327498953
2020-09-06,11248.950092839534
2020-09-07,10993.747252846731
2020-09-08,10748.229347425244
2020-09-09,10519.976847203245
2020-09-10,10309.561699241194
2020-09-11,10111.563925120437
2020-09-12,9933.0564348826
2020-09-13,9785.100344867835
2020-09-14,9658.389277445018
2020-09-15,9531.729534360311
2020-09-16,9401.203547629311
2020-09-17,9265.528632044307
2020-09-18,9127.886467648026
2020-09-19,9006.893765473833
2020-09-20,8890.001002657305
2020-09-21,8773.364035526103
2020-09-22,8670.162076508555
2020-09-23,8571.4906855203
2020-09-24,8471.582979399436
2020-09-25,8373.016217004524
2020-09-26,8270.577989436173
2020-09-27,8188.55257628077
2020-09-28,8175.301331114606
2020-09-29,8205.479939346438
2020-09-30,8239.412101353853
2020-10-01,8263.533592175747
2020-10-02,8267.770166925444
2020-10-03,8268.154639099472
2020-10-04,8274.087319937351
2020-10-05,8271.309551117616
2020-10-06,8256.002896212973
2020-10-07,8236.743923773081
2020-10-08,8220.79695149303
2020-10-09,8211.576854658482
2020-10-10,8209.00938772483
2020-10-11,8209.163257661627
2020-10-12,8210.850354763486
2020-10-13,8217.066231787694
2020-10-14,8227.245495641151
2020-10-15,8239.774693267873
2020-10-16,8252.508460230621
2020-10-17,8265.54665625133
2020-10-18,8278.021891367245
2020-10-19,8297.175393660287
2020-10-20,8322.385020460291
2020-10-21,8343.515311824829
2020-10-22,8363.809538853666
2020-10-23,8388.879031057424
2020-10-24,8424.328992374332
2020-10-25,8477.133839910966
2020-10-26,8548.862260315602
2020-10-27,8637.410795217806
2020-10-28,8738.168459790179
2020-10-29,8840.138102388022
2020-10-30,8948.27781913479
2020-10-31,9068.334886694607
2020-11-01,9201.503867142235
2020-11-02,9349.055121411293
2020-11-03,9505.038013673282
2020-11-04,9676.238055717602
2020-11-05,9885.151439823254
2020-11-06,10135.249052187582
2020-11-07,10414.985788674969
2020-11-08,10717.821583433102
2020-11-09,11070.907477090634
2020-11-10,11495.053295109607
2020-11-11,11980.1096361144
2020-11-12,12507.851997151845
2020-11-13,13061.378927001657
2020-11-14,13627.898046689012
2020-11-15,14211.750622303072
2020-11-16,14832.799520218461
2020-11-17,15507.792276382212
2020-11-18,16241.620059240191
2020-11-19,17030.11308892424
2020-11-20,17867.25392825957
2020-11-21,18746.120646941585
2020-11-22,19625.440709387145
2020-11-23,20445.70752646618
2020-11-24,21199.669350252872
2020-11-25,21910.780890055394
2020-11-26,22574.831724881416
2020-11-27,23191.225259190684
2020-11-28,23778.341925294753
2020-11-29,24366.47559941638
2020-11-30,24976.135396381364
2020-12-01,25591.48341641712
2020-12-02,26194.974796297865
2020-12-03,26785.697356228982
2020-12-04,27363.57750642821
2020-12-05,27937.73421390604
2020-12-06,28486.6641938392
2020-12-07,28991.532041353243
2020-12-08,29476.562593025166
2020-12-09,29966.91981048484
2020-12-10,30469.48048396005
2020-12-11,30990.559026125957
2020-12-12,31524.94457087071
2020-12-13,32062.269388650195
2020-12-14,32602.60514888497
2020-12-15,33144.96873735691
2020-12-16,33683.13303309138
2020-12-17,34212.29681851471
2020-12-18,34722.53834524512
2020-12-19,35211.23912379996
2020-12-20,35690.135206891224
2020-12-21,36179.39826750186
2020-12-22,36698.83174753813
2020-12-23,37272.26217926251
2020-12-24,37906.80077906469
2020-12-25,38585.947915598685
2020-12-26,39329.95925928845
2020-12-27,40116.91087123964
2020-12-28,40925.86871743572
2020-12-29,41768.20660137968
2020-12-30,42608.71760007074
2020-12-31,43405.70280297421
2021-01-01,44147.80580132637
2021-01-02,44869.398303877024
2021-01-03,45631.20974968817
2021-01-04,46472.0564739564
2021-01-05,47498.79113306903
2021-01-06,48807.45522817954
2021-01-07,50488.1020787416
2021-01-08,52593.925200253994
2021-01-09,55068.82218637926
2021-01-10,57755.82026528424
2021-01-11,60373.6971266723
2021-01-12,62767.57200594127
2021-01-13,64814.475805485876
2021-01-14,66575.8601094597
2021-01-15,68156.88002897029
2021-01-16,69528.77645719881
2021-01-17,70780.03923801088
2021-01-18,71966.81240929558
2021-01-19,73000.67591829444
2021-01-20,73849.14902973267
2021-01-21,74565.3718888865
2021-01-22,74908.34284756603
2021-01-23,74770.29712920183
2021-01-24,74264.54471314137
2021-01-25,73487.66153019124
2021-01-26,72573.03135914201
2021-01-27,71575.92937031871
2021-01-28,70496.09487837736
2021-01-29,69322.04862864983
2021-01-30,68122.69740219641
2021-01-31,66883.93343004961
2021-02-01,65554.74035405573
2021-02-02,64128.15516352055
2021-02-03,62592.93738802504
2021-02-04,60980.963117537096
2021-02-05,59332.73736253113
2021-02-06,57686.10088376048
2021-02-07,56051.23873123972
2021-02-08,54403.125468727616
2021-02-09,52751.73829479208
2021-02-10,51092.118665739006
2021-02-11,49411.15258384216
2021-02-12,47733.38058079118
2021-02-13,46090.578175154085
2021-02-14,44495.63502120342
2021-02-15,42955.25262381617
2021-02-16,41468.105323414224
2021-02-17,40044.22030725769
2021-02-18,38692.800303153774
2021-02-19,37404.223269390124
2021-02-20,36167.09660090543
2021-02-21,34972.66928842126
2021-02-22,33816.428046170135
2021-02-23,32693.804215736807
2021-02-24,31603.373249763463
2021-02-25,30556.757765327962
2021-02-26,29560.529282233278
2021-02-27,28611.04594141817
2021-02-28,27731.19241851262
2021-03-01,26945.799763493163
2021-03-02,26243.06377196794
2021-03-03,25608.97252077868
2021-03-04,25022.212201767186
2021-03-05,24466.579755490427
2021-03-06,23942.514663928487
2021-03-07,23437.51740643685
2021-03-08,22963.3470895543
2021-03-09,22547.557106367873
2021-03-10,22174.740803179135
2021-03-11,21833.42581825933
2021-03-12,21518.767794672975
2021-03-13,21223.8482533638
2021-03-14,20947.534538997777
2021-03-15,20708.089228668618
2021-03-16,20518.37500437566
2021-03-17,20372.412444979676
2021-03-18,20267.38708980039
2021-03-19,20214.320409944674
2021-03-20,20201.177335157
2021-03-21,20218.62251343734
2021-03-22,20275.76538283509
2021-03-23,20375.01139354475
2021-03-24,20529.938945978836
2021-03-25,20752.100618156837
2021-03-26,21063.973036113763
2021-03-27,21459.54235590961
2021-03-28,21914.20959944785
2021-03-29,22429.751585647144
2021-03-30,23011.598151720922
2021-03-31,23657.766768044097
2021-04-01,24361.58856092268
2021-04-02,25122.81143664691
2021-04-03,25904.03357205245
2021-04-04,26692.88223874927
2021-04-05,27519.83715335339
2021-04-06,28398.33730794655
2021-04-07,29331.17197028723
2021-04-08,30315.59585550111
2021-04-09,31338.541217968712
2021-04-10,32380.09553368439
2021-04-11,33436.510693362965
2021-04-12,34527.86906243003
2021-04-13,35668.09409484065
2021-04-14,36859.345722569444
2021-04-15,38110.27374408394
2021-04-16,39426.609040298965
2021-04-17,40800.160396884436
2021-04-18,42208.388158354115
2021-04-19,43644.50595055989
2021-04-20,45123.03883227656
2021-04-21,46651.74641954794
2021-04-22,48221.29869679823
2021-04-23,49772.687484968425
2021-04-24,51269.58561214634
2021-04-25,52756.10741766496
2021-04-26,54255.56124670117
2021-04-27,55708.3489199827
2021-04-28,57095.662979274
2021-04-29,58429.22127549439
2021-04-30,59734.293910592554
2021-05-01,61063.25720530377
2021-05-02,62391.48673444495
2021-05-03,63635.17064770531
2021-05-04,64752.57876826935
2021-05-05,65755.71224073786
2021-05-06,66722.30226819732
2021-05-07,67711.07356335966
2021-05-08,68721.01354229674
2021-05-09,69785.75034930799
2021-05-10,71033.42130592806
2021-05-11,72553.54912677954
2021-05-12,74225.35072704611
2021-05-13,75858.40215172972
2021-05-14,77362.20111550186
2021-05-15,78701.51377924008
2021-05-16,79871.34138339896
2021-05-17,80689.54778736764
2021-05-18,81161.11364275934
2021-05-19,81431.83444390092
2021-05-20,81472.01462789273
2021-05-21,81297.67486191713
2021-05-22,80957.19695433819
2021-05-23,80465.72006379273
2021-05-24,79822.62218388414
2021-05-25,79032.04162795836
2021-05-26,78091.71400048374
2021-05-27,76994.36866968113
2021-05-28,75766.23768634995
2021-05-29,74462.34025954957
2021-05-30,73124.31714564875
2021-05-31,71728.85952635545
2021-06-01,70227.3039225772
2021-06-02,68649.46746234932
2021-06-03,67036.71141208199
2021-06-04,65372.681739183216
2021-06-05,63669.129829545345
2021-06-06,61958.57980890776
2021-06-07,60240.5132667243
2021-06-08,58524.90339712171
2021-06-09,56807.26600060498
2021-06-10,55089.258499176
2021-06-11,53395.40014696474
2021-06-12,51729.75485293241
2021-06-13,50093.844249281916
2021-06-14,48496.54907005417
2021-06-15,46945.69235792751
2021-06-16,45456.49460205094
2021-06-17,44064.63114011864
2021-06-18,42738.795679737756
2021-06-19,41440.24509087639
2021-06-20,40181.909045305576
2021-06-21,38979.156566823716
2021-06-22,37844.70182131673
2021-06-23,36803.12960298079
2021-06-24,35861.10177087786
2021-06-25,35006.237831554856
2021-06-26,34241.37461933085
2021-06-27,33517.54665083953
2021-06-28,32838.20305510228
2021-06-29,32226.230708836694
2021-06-30,31661.382959897255
2021-07-01,31154.31423089893
2021-07-02,30663.515129579406
2021-07-03,30173.847035236457
2021-07-04,29689.36952405377
2021-07-05,29229.95287567522
2021-07-06,28800.689906895073
2021-07-07,28438.08757376638
2021-07-08,28203.35824374823
2021-07-09,28086.750717356823
2021-07-10,28093.20819163081
2021-07-11,28213.825148248663
2021-07-12,28411.491122671647
2021-07-13,28695.99471245709
2021-07-14,29084.728460931357
2021-07-15,29578.542160383076
2021-07-16,30174.527907009757
2021-07-17,30860.147318730254
2021-07-18,31678.20972108746
2021-07-19,32644.852204353272
2021-07-20,33728.894781388844
2021-07-21,34934.203674527416
2021-07-22,36269.06759725892
2021-07-23,37720.87777861176
2021-07-24,39284.62530366312
2021-07-25,41083.16835910204
2021-07-26,43245.799913453855
2021-07-27,45757.115002715116
2021-07-28,48702.77184211143
2021-07-29,52223.601091918565
2021-07-30,56309.97183304778
2021-07-31,60861.55836630829
2021-08-01,65769.52481696142
2021-08-02,70936.21352780385
2021-08-03,76254.57291321283
2021-08-04,81633.3860041712
2021-08-05,87124.83182138349
2021-08-06,92699.71547125762
2021-08-07,98308.61698906863
2021-08-08,103935.88930160669
2021-08-09,109499.5685814647
2021-08-10,115008.5280539011
2021-08-11,120530.73693785376
2021-08-12,126075.91202745812
2021-08-13,131635.68873018777
2021-08-14,137181.25556957352
2021-08-15,142818.80314087722
2021-08-16,148682.29832043382
2021-08-17,154976.91935904566
2021-08-18,161737.37504030857
2021-08-19,168815.97621908344
2021-08-20,176024.7119253221
2021-08-21,183203.4144766554
2021-08-22,189986.45307267504
2021-08-23,195518.09138325794
2021-08-24,199631.47490345428
2021-08-25,202832.53136370122
2021-08-26,205211.85387858035
2021-08-27,207158.59965604325
2021-08-28,209110.4907555618
2021-08-29,210899.53321496642
2021-08-30,212368.01170787276
2021-08-31,213349.17735025808
2021-09-01,213802.1269081097
2021-09-02,213665.6781717776
2021-09-03,212712.20545317762
2021-09-04,210993.0335474336
2021-09-05,208745.6705301608
2021-09-06,206054.21674502865
2021-09-07,202907.4131731707
2021-09-08,199305.74825022148
2021-09-09,195395.91720115326
2021-09-10,191065.0226163425
2021-09-11,186190.22682145136
2021-09-12,180938.0149276989
2021-09-13,175412.04596388637
2021-09-14,169622.2704605821
2021-09-15,163625.95806097405
2021-09-16,157486.91088662043
2021-09-17,151269.43438088172
2021-09-18,145069.38885574084
2021-09-19,138930.79961012857
2021-09-20,132857.39247139374
2021-09-21,126866.69004513253
2021-09-22,121026.32874778737
2021-09-23,115357.99960017092
2021-09-24,109874.76059595379
2021-09-25,104580.81621704134
2021-09-26,99460.79719798939
2021-09-27,94523.57255028989
2021-09-28,89845.72267247453
2021-09-29,85457.09830675813
2021-09-30,81258.98777269828
2021-10-01,77393.62550715623
2021-10-02,73847.0886920462
2021-10-03,70352.50687596432
2021-10-04,66850.91080239062
2021-10-05,63400.97764798057
2021-10-06,60050.07971214347
2021-10-07,56858.992534671714
2021-10-08,53844.97574483106
2021-10-09,50961.39069937876
2021-10-10,48192.821306659345
2021-10-11,45552.445449344355
2021-10-12,43032.734190474985
2021-10-13,40641.818100331104
2021-10-14,38392.169715015705
2021-10-15,36262.68112097702
2021-10-16,34237.476350444646
2021-10-17,32318.509227838706
2021-10-18,30497.343907561848
2021-10-19,28765.25305242648
2021-10-20,27121.252533824776
2021-10-21,25561.33608348347
2021-10-22,24084.052598155424
2021-10-23,22692.750097112308
2021-10-24,21383.581068189
2021-10-25,20150.855768568894
2021-10-26,18989.784859183284
2021-10-27,17899.476093934554
2021-10-28,16885.997964006237
2021-10-29,15942.246190483476
2021-10-30,15056.18687270898
2021-10-31,14220.172284231716
2021-11-01,13429.247692681234
2021-11-02,12680.643906607822
2021-11-03,11971.700445747809
2021-11-04,11302.480929449339
2021-11-05,10672.558782917236
2021-11-06,10078.840638308067
2021-11-07,9518.787588731897
2021-11-08,8991.78879868537
2021-11-09,8504.87538529864
2021-11-10,8056.9859194546725
2021-11-11,7639.102365005759
2021-11-12,7244.136761227479
2021-11-13,6869.164979899364
2021-11-14,6514.12217410391
2021-11-15,6177.009915308716
2021-11-16,5857.653886166335
2021-11-17,5556.365815079844
2021-11-18,5272.446295253289
2021-11-19,5004.246321072005
2021-11-20,4749.743964950481
2021-11-21,4508.088742138684
2021-11-22,4278.8052332937905
2021-11-23,4060.625201608806
2021-11-24,3853.5551913236254
2021-11-25,3657.128800161943
2021-11-26,3469.854215364819
2021-11-27,3290.6603666528645
2021-11-28,3119.1103976822847
2021-11-29,2955.973727669964
